,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Price,Mileage_int,Engine_int,Power_int,Car
1127,Coimbatore,2016,55137,Petrol,Manual,First,5.0,3.11,14.0,796.0,35.0,Maruti Omni
1128,Jaipur,2014,93325,Diesel,Manual,Second,5.0,14.45,17.2,1968.0,138.1,Skoda Superb
1129,Ahmedabad,2018,38000,Diesel,Manual,First,7.0,8.7,24.52,1248.0,88.5,Maruti Ertiga
1130,Kochi,2016,57738,Diesel,Manual,First,5.0,5.04,24.0,1120.0,70.0,Hyundai Grand
1131,Jaipur,2017,38282,Diesel,Manual,First,5.0,8.5,28.09,1248.0,88.5,Maruti Ciaz
1132,Delhi,2014,64000,Diesel,Automatic,First,5.0,15.65,19.27,2143.0,170.0,Mercedes-Benz New C-Class
1134,Bangalore,2010,83000,Petrol,Automatic,First,5.0,16.5,10.93,2497.0,204.0,Mercedes-Benz E-Class
1135,Ahmedabad,2011,76000,CNG,Manual,First,5.0,2.0,26.3,998.0,67.1,Maruti Zen
1136,Pune,2012,67200,Petrol,Manual,First,5.0,3.9,15.04,1598.0,103.6,Volkswagen Vento
1137,Jaipur,2013,62655,Diesel,Automatic,First,5.0,14.5,18.88,1995.0,184.0,BMW 3 Series
1138,Bangalore,2015,16900,Diesel,Automatic,First,5.0,44.0,14.69,2993.0,258.0,BMW 5 Series
1139,Delhi,2017,8471,Petrol,Manual,First,5.0,5.0,18.9,1197.0,81.86,Hyundai Grand
1140,Hyderabad,2016,69000,Diesel,Automatic,First,7.0,19.75,11.36,2755.0,171.5,Toyota Innova
1141,Coimbatore,2017,30090,Diesel,Automatic,First,5.0,11.44,19.6,1461.0,108.45,Renault Duster
1142,Chennai,2011,120000,Diesel,Manual,First,5.0,1.75,18.0,1248.0,75.0,Tata Indica
1143,Bangalore,2013,23000,Diesel,Manual,First,5.0,5.6,17.8,1248.0,77.89,Maruti Swift
1144,Kochi,2016,35939,Petrol,Manual,First,5.0,30.42,12.3,1796.0,185.0,Mercedes-Benz E-Class
1145,Coimbatore,2013,116694,Diesel,Manual,First,7.0,9.57,15.1,2179.0,140.0,Mahindra XUV500
1147,Coimbatore,2018,64456,Diesel,Manual,First,5.0,10.46,24.3,1248.0,88.5,Maruti Vitara
1149,Kochi,2016,51672,Petrol,Manual,First,5.0,5.68,19.5,1199.0,88.76,Honda Amaze
1150,Mumbai,2015,56073,Petrol,Automatic,First,5.0,13.25,13.7,1798.0,157.75,Skoda Superb
1152,Chennai,2013,79000,Petrol,Manual,First,5.0,3.0,18.9,998.0,67.1,Maruti WagonR
1153,Kolkata,2007,43206,Petrol,Manual,First,5.0,0.99,17.0,1086.0,62.3,Hyundai Santro
1154,Mumbai,2010,70200,Petrol,Automatic,First,5.0,5.0,14.53,1798.0,138.1,Toyota Corolla
1155,Delhi,2016,42000,Petrol,Manual,First,5.0,4.75,16.1,1197.0,85.0,Maruti Swift
1156,Bangalore,2014,62000,Petrol,Manual,First,5.0,5.35,16.47,1198.0,74.0,Volkswagen Polo
1157,Hyderabad,2017,20000,Petrol,Manual,First,5.0,5.98,18.9,1197.0,81.86,Hyundai Grand
1158,Chennai,2011,80000,Diesel,Manual,Third,5.0,3.5,21.5,1248.0,88.8,Maruti SX4
1159,Kochi,2018,50234,Petrol,Manual,First,5.0,4.77,18.9,1197.0,81.86,Hyundai Grand
1160,Delhi,2016,50003,Petrol,Manual,First,5.0,5.45,21.4,1197.0,83.1,Maruti Baleno
1162,Jaipur,2016,54897,Diesel,Automatic,First,5.0,7.3,26.59,1248.0,74.0,Maruti Swift
1163,Pune,2007,108995,Petrol,Manual,First,5.0,1.25,15.3,1193.0,65.3,Tata Indica
1164,Chennai,2015,73000,Diesel,Manual,First,5.0,8.25,22.7,1598.0,118.0,Maruti SX4
1165,Ahmedabad,2008,65000,Petrol,Manual,First,5.0,2.71,16.1,1298.0,88.2,Maruti Swift
1166,Kolkata,2016,32000,Petrol,Manual,First,5.0,3.6,19.1,1197.0,82.0,Hyundai Xcent
1167,Ahmedabad,2010,65000,Petrol,Manual,First,5.0,3.0,18.5,1197.0,80.0,Hyundai i20
1168,Hyderabad,2016,21600,Petrol,Automatic,First,5.0,4.65,23.1,998.0,67.04,Maruti Celerio
1169,Mumbai,2010,39000,Diesel,Automatic,First,5.0,9.5,14.84,2143.0,170.0,Mercedes-Benz New C-Class
1170,Mumbai,2011,58075,Petrol,Manual,First,5.0,2.95,17.5,1298.0,85.8,Maruti Swift
1171,Mumbai,2011,58000,Petrol,Manual,First,5.0,3.0,15.04,1598.0,103.6,Volkswagen Vento
1172,Hyderabad,2015,58000,Diesel,Manual,First,5.0,5.95,25.2,1248.0,74.0,Maruti Swift
1173,Delhi,2008,89000,Petrol,Automatic,First,5.0,4.0,14.53,1798.0,138.1,Toyota Corolla
1174,Delhi,2008,72000,Petrol,Manual,First,5.0,2.5,13.5,1799.0,130.0,Honda Civic
1175,Kolkata,2017,1800,Petrol,Automatic,First,5.0,11.37,16.05,1499.0,110.4,Ford EcoSport
1177,Jaipur,2013,46230,Petrol,Manual,First,5.0,3.1,19.81,1086.0,68.05,Hyundai i10
1179,Jaipur,2018,5000,Petrol,Manual,First,5.0,6.5,18.6,1197.0,81.83,Hyundai i20
1180,Ahmedabad,2014,66000,Diesel,Manual,First,5.0,5.7,26.0,1498.0,98.6,Honda City
1181,Ahmedabad,2013,119000,Diesel,Manual,First,8.0,8.0,12.99,2494.0,100.0,Toyota Innova
1182,Chennai,2016,45000,Petrol,Manual,First,5.0,2.6,25.17,799.0,53.3,Renault KWID
1185,Kolkata,2012,35503,Petrol,Manual,First,5.0,2.3,18.9,998.0,67.1,Maruti WagonR
1186,Jaipur,2016,41460,Diesel,Manual,First,5.0,5.9,25.2,1248.0,74.0,Maruti Swift
1187,Mumbai,2015,40600,Petrol,Automatic,First,5.0,7.2,17.0,1591.0,121.3,Hyundai Verna
1188,Ahmedabad,2013,87000,Diesel,Automatic,First,5.0,5.9,22.0,1582.0,126.2,Hyundai Verna
1189,Chennai,2014,30000,Petrol,Manual,Second,5.0,6.0,16.8,1497.0,116.3,Honda City
1190,Kolkata,2010,27089,Petrol,Manual,First,5.0,1.95,16.0,1086.0,66.7,Hyundai i10
1191,Coimbatore,2016,53702,Diesel,Manual,First,5.0,6.55,23.59,1364.0,67.04,Toyota Etios
1193,Kolkata,2012,36542,Diesel,Manual,First,5.0,2.65,20.0,1399.0,68.05,Ford Figo
1194,Mumbai,2017,15000,Diesel,Automatic,First,5.0,69.5,13.0,2987.0,265.0,Mercedes-Benz E-Class
1195,Chennai,2012,65000,Diesel,Automatic,First,5.0,14.0,22.69,1995.0,190.0,BMW 3 Series
1196,Pune,2014,32000,Petrol,Manual,Second,5.0,2.1,22.74,796.0,47.3,Maruti Alto
1197,Hyderabad,2017,24393,Diesel,Manual,First,7.0,20.4,13.68,2393.0,147.8,Toyota Innova
1198,Hyderabad,2019,1000,Petrol,Manual,First,5.0,5.68,18.78,999.0,75.0,Volkswagen Polo
1199,Mumbai,2014,28238,Petrol,Manual,First,5.0,5.55,13.24,1598.0,102.5,Nissan Terrano
1201,Mumbai,2012,92000,Petrol,Manual,Second,5.0,3.35,14.8,1799.0,130.2,Honda Civic
1202,Kolkata,2013,56840,Petrol,Manual,First,5.0,1.55,22.74,796.0,47.3,Maruti Alto
1203,Coimbatore,2013,62746,Diesel,Manual,Second,5.0,5.9,20.54,1598.0,103.6,Volkswagen Vento
1205,Mumbai,2014,24000,Petrol,Manual,First,5.0,11.51,13.7,1997.0,153.86,Honda CR-V
1206,Mumbai,2016,54000,Diesel,Manual,First,7.0,7.75,20.77,1248.0,88.76,Maruti Ertiga
1207,Chennai,2016,90000,Diesel,Manual,First,7.0,13.9,12.99,2494.0,100.6,Toyota Innova
1209,Mumbai,2015,65938,Diesel,Automatic,Second,7.0,38.0,12.07,2967.0,241.4,Audi Q7
1210,Mumbai,2017,16100,Petrol,Automatic,First,5.0,11.6,17.1,1591.0,121.4,Hyundai Verna
1211,Hyderabad,2017,3600,Diesel,Automatic,First,5.0,12.25,21.5,1498.0,108.5,Volkswagen Vento
1212,Jaipur,2011,52000,Petrol,Manual,First,5.0,3.8,17.0,1497.0,118.0,Honda City
1213,Mumbai,2014,54000,Diesel,Manual,First,5.0,3.25,20.0,1399.0,68.05,Ford Figo
1214,Mumbai,2016,15399,Petrol,Manual,First,5.0,6.4,18.7,1199.0,88.7,Honda Jazz
1215,Bangalore,2012,75000,Petrol,Manual,Second,5.0,3.95,16.47,1198.0,73.9,Volkswagen Polo
1216,Delhi,2010,76752,Petrol,Manual,First,5.0,3.57,17.4,1497.0,117.3,Honda City
1217,Mumbai,2005,56000,Petrol,Manual,Second,5.0,1.25,17.7,1497.0,78.0,Honda City
1218,Pune,2015,70000,CNG,Manual,First,5.0,3.65,26.2,998.0,58.2,Maruti WagonR
1219,Kolkata,2013,46125,Petrol,Automatic,Second,5.0,12.5,12.0,2354.0,187.4,Honda CR-V
1220,Ahmedabad,2014,35000,Diesel,Automatic,Second,5.0,23.0,18.12,1995.0,190.0,BMW 5 Series
1222,Coimbatore,2012,62729,Diesel,Manual,First,8.0,6.32,12.05,2179.0,120.0,Mahindra Scorpio
1223,Kolkata,2012,34000,Diesel,Manual,First,5.0,3.4,20.54,1598.0,103.6,Volkswagen Vento
1224,Jaipur,1999,70000,Petrol,Manual,Second,5.0,0.77,17.3,993.0,60.0,Maruti Zen
1226,Delhi,2017,21000,Petrol,Automatic,First,5.0,18.0,14.28,1798.0,138.03,Toyota Corolla
1227,Pune,2013,49000,Petrol,Automatic,First,5.0,19.0,14.59,1997.0,245.0,BMW 3 Series
1229,Pune,2012,78000,Petrol,Manual,Second,5.0,2.0,18.6,1199.0,79.4,Chevrolet Beat
1230,Ahmedabad,2012,52000,Diesel,Manual,First,5.0,6.5,21.43,1364.0,86.79,Toyota Corolla
1231,Bangalore,2014,65213,Diesel,Manual,First,7.0,9.45,16.0,2179.0,140.0,Mahindra XUV500
1232,Mumbai,2016,170000,Diesel,Manual,First,5.0,4.0,24.4,1120.0,71.0,Hyundai Xcent
1233,Kochi,2017,36884,Diesel,Automatic,First,5.0,32.25,13.0,2143.0,204.0,Mercedes-Benz E-Class
1234,Pune,2009,62500,Petrol,Manual,First,5.0,2.1,20.36,1197.0,78.9,Hyundai i10
1235,Mumbai,2015,68000,Petrol,Automatic,Second,5.0,9.75,14.28,1798.0,138.03,Toyota Corolla
1236,Kolkata,2014,40748,Petrol,Manual,First,5.0,6.3,14.53,1798.0,138.0,Toyota Corolla
1237,Hyderabad,2013,60000,Diesel,Automatic,First,5.0,21.0,17.32,1968.0,184.0,Audi Q3
1238,Mumbai,2014,12400,Diesel,Manual,First,5.0,4.65,21.9,1396.0,88.8,Hyundai i20
1239,Mumbai,2013,87000,Diesel,Automatic,Second,5.0,17.0,19.27,2143.0,167.62,Mercedes-Benz New C-Class
1240,Pune,2013,20248,Diesel,Manual,First,5.0,4.35,21.1,1248.0,73.9,Maruti Ritz
1241,Coimbatore,2017,52383,Diesel,Manual,First,5.0,14.82,19.67,1582.0,126.2,Hyundai Creta
1243,Chennai,2016,85000,Diesel,Manual,First,7.0,6.15,14.95,2489.0,93.7,Mahindra Xylo
1244,Ahmedabad,2014,47000,Diesel,Manual,First,7.0,11.25,12.99,2494.0,100.6,Toyota Innova
1246,Coimbatore,2018,32496,Diesel,Automatic,First,5.0,45.62,13.22,2967.0,241.4,Audi Q5
1247,Kochi,2017,34613,Diesel,Manual,First,5.0,6.24,28.4,1248.0,74.0,Maruti Swift
1248,Chennai,2015,153000,Diesel,Manual,First,7.0,4.8,20.77,1248.0,88.76,Maruti Ertiga
1249,Chennai,2014,54000,Petrol,Manual,Second,5.0,4.5,16.1,1197.0,85.0,Maruti Swift
1250,Kochi,2015,16900,Petrol,Manual,First,5.0,3.87,20.36,1197.0,78.9,Hyundai i10
1251,Delhi,2013,62334,Petrol,Manual,First,5.0,2.75,20.36,1197.0,78.9,Hyundai i10
1252,Kochi,2018,23714,Petrol,Manual,First,5.0,6.57,21.4,1197.0,83.1,Maruti Baleno
1254,Ahmedabad,2012,50000,Petrol,Manual,First,5.0,3.65,19.4,1198.0,86.8,Honda Brio
1255,Hyderabad,2016,55746,Diesel,Manual,First,5.0,6.95,22.9,1248.0,74.0,Maruti Swift
1256,Bangalore,2014,54000,Petrol,Manual,First,5.0,5.5,20.14,1197.0,81.86,Hyundai Xcent
1257,Kolkata,2013,43000,Diesel,Manual,First,7.0,7.0,16.0,2179.0,140.0,Mahindra XUV500
1258,Delhi,2014,40000,Diesel,Automatic,First,5.0,24.0,13.0,2143.0,201.1,Mercedes-Benz E-Class
1260,Bangalore,2016,51944,Diesel,Automatic,First,5.0,32.5,19.27,2143.0,170.0,Mercedes-Benz New C-Class
1261,Kochi,2015,46950,Diesel,Manual,First,5.0,6.45,21.27,1396.0,88.76,Hyundai i20
1262,Mumbai,2015,23000,Diesel,Automatic,First,5.0,15.75,19.3,1968.0,141.0,Skoda Octavia
1263,Mumbai,2014,54546,Petrol,Manual,First,5.0,5.5,17.0,1497.0,118.0,Honda City
1264,Kochi,2015,51535,Diesel,Automatic,First,7.0,19.03,12.55,2982.0,168.5,Toyota Fortuner
1265,Kolkata,2013,45000,Diesel,Automatic,First,5.0,15.25,17.32,1968.0,184.0,Audi Q3
1266,Hyderabad,2012,46004,Petrol,Manual,First,5.0,2.4,20.92,998.0,67.1,Maruti Alto
1267,Chennai,2011,124000,Diesel,Manual,First,5.0,2.3,23.03,1396.0,69.0,Tata Indigo
1268,Kochi,2014,77395,Diesel,Automatic,First,5.0,14.35,17.11,1968.0,174.33,Audi A4
1269,Mumbai,2018,10600,CNG,Manual,First,4.0,3.5,33.44,796.0,40.3,Maruti Alto
1270,Kochi,2018,22974,Petrol,Automatic,First,5.0,11.97,18.0,1497.0,117.3,Honda City
1271,Jaipur,2009,89000,Petrol,Manual,Second,5.0,1.6,17.48,999.0,62.3,Hyundai Santro
1272,Ahmedabad,2015,65012,Diesel,Manual,First,7.0,18.9,14.24,2755.0,174.5,Toyota Fortuner
1273,Ahmedabad,2017,17125,Petrol,Manual,First,5.0,5.4,18.9,1197.0,82.0,Hyundai Grand
1275,Bangalore,2013,37000,Petrol,Manual,First,5.0,5.1,16.47,1198.0,73.9,Volkswagen Polo
1276,Jaipur,2006,65000,Petrol,Manual,First,5.0,1.5,18.9,1061.0,67.0,Maruti WagonR
1277,Bangalore,2011,66000,Petrol,Manual,First,5.0,4.9,17.0,1497.0,118.0,Honda City
1278,Mumbai,2010,86000,Petrol,Manual,First,5.0,2.9,14.8,1799.0,130.2,Honda Civic
1279,Pune,2005,98437,Petrol,Manual,First,5.0,1.15,13.0,1493.0,100.0,Honda City
1280,Kolkata,2010,18000,Petrol,Manual,First,5.0,2.3,18.5,1197.0,80.0,Hyundai i20
1281,Kochi,2018,35070,Diesel,Manual,First,5.0,5.99,24.0,1120.0,70.0,Hyundai Grand
1282,Pune,2011,42000,Petrol,Automatic,Third,5.0,3.4,14.4,1598.0,103.6,Volkswagen Vento
1283,Kolkata,2009,40000,Petrol,Manual,First,5.0,1.7,20.36,1197.0,78.9,Hyundai i10
1284,Kolkata,2009,43000,Petrol,Manual,First,5.0,1.99,17.0,1197.0,80.0,Hyundai i20
1285,Pune,2012,65000,Petrol,Manual,First,5.0,2.5,18.6,1199.0,79.4,Chevrolet Beat
1286,Hyderabad,2013,74000,Diesel,Manual,First,5.0,4.85,22.07,1199.0,73.9,Volkswagen Polo
1287,Hyderabad,2010,51192,Petrol,Manual,First,5.0,2.65,15.6,1196.0,70.0,Ford Figo
1289,Jaipur,2015,66339,Diesel,Manual,Second,5.0,6.9,25.1,1498.0,98.6,Honda City
1290,Hyderabad,2013,90200,Diesel,Manual,First,5.0,3.5,20.0,1399.0,68.05,Ford Figo
1291,Delhi,2015,57854,Diesel,Manual,First,7.0,12.5,12.99,2494.0,100.6,Toyota Innova
1292,Delhi,2017,32000,Petrol,Automatic,First,5.0,9.2,19.12,1373.0,91.1,Maruti Ciaz
1293,Mumbai,2015,29631,Petrol,Automatic,First,5.0,4.9,18.9,1197.0,82.0,Hyundai Grand
1295,Kochi,2014,54173,Petrol,Manual,First,5.0,5.55,18.88,999.0,123.24,Ford EcoSport
1296,Ahmedabad,2014,50000,Petrol,Automatic,First,5.0,13.5,14.7,1798.0,177.6,Skoda Octavia
1298,Jaipur,2015,78000,Petrol,Manual,First,5.0,4.5,16.1,1298.0,88.2,Maruti Swift
1300,Hyderabad,2012,120000,Diesel,Manual,First,7.0,12.0,12.8,2494.0,102.0,Toyota Innova
1301,Mumbai,2015,14000,Diesel,Manual,First,5.0,5.25,28.4,1248.0,74.0,Maruti Swift
1302,Kochi,2014,57456,Diesel,Automatic,First,5.0,21.56,17.68,1968.0,174.33,Audi A6
1303,Coimbatore,2012,44450,Diesel,Automatic,First,5.0,24.68,22.48,1995.0,190.0,BMW 5 Series
1304,Delhi,2013,63777,Petrol,Manual,First,5.0,3.67,18.5,1197.0,82.9,Hyundai i20
1305,Mumbai,2016,31000,Diesel,Automatic,First,5.0,29.5,17.05,1995.0,190.0,BMW X1
1306,Delhi,2012,60000,Petrol,Manual,First,5.0,3.1,17.6,1496.0,88.73,Toyota Etios
1307,Ahmedabad,2015,78008,Diesel,Manual,First,5.0,2.9,17.0,1405.0,70.0,Tata Indigo
1308,Bangalore,2014,33000,Diesel,Automatic,Second,5.0,43.0,13.0,2987.0,165.0,Mercedes-Benz M-Class
1310,Hyderabad,2011,57275,Diesel,Manual,First,5.0,4.5,19.7,1598.0,103.6,Volkswagen Polo
1311,Delhi,2014,45000,Diesel,Manual,First,5.0,3.49,24.0,1120.0,70.0,Hyundai Grand
1312,Delhi,2014,57319,Diesel,Manual,First,5.0,4.25,25.2,1248.0,74.0,Maruti Swift
1313,Chennai,2008,121097,Diesel,Manual,Second,5.0,1.9,24.0,1396.0,88.76,Hyundai Verna
1314,Mumbai,2011,89000,Diesel,Automatic,First,5.0,16.57,16.73,1995.0,218.0,BMW 5 Series
1315,Bangalore,2012,72000,Petrol,Manual,First,5.0,5.75,17.0,1497.0,118.0,Honda City
1316,Delhi,2013,36000,Diesel,Automatic,Second,5.0,14.0,16.55,1968.0,147.51,Audi A4
1318,Ahmedabad,2002,85000,Petrol,Manual,First,5.0,1.2,13.0,1343.0,90.0,Honda City
1320,Kochi,2013,37613,Diesel,Automatic,First,5.0,13.95,22.69,1995.0,190.0,BMW 3 Series
1321,Chennai,2007,100000,Petrol,Manual,First,5.0,1.6,16.6,1388.0,68.0,Ford Fiesta
1322,Coimbatore,2016,5240,Petrol,Automatic,First,4.0,3.6,21.9,624.0,37.48,Tata Nano
1325,Coimbatore,2013,59254,Petrol,Manual,Second,5.0,5.29,17.5,1298.0,85.8,Maruti Swift
1326,Jaipur,2014,60000,Diesel,Manual,First,5.0,5.75,22.7,1498.0,89.84,Ford Ecosport
1328,Coimbatore,2014,47674,Petrol,Manual,First,5.0,5.72,19.1,1197.0,85.8,Maruti Swift
1329,Kochi,2014,61517,Petrol,Automatic,First,5.0,4.39,16.95,1197.0,78.9,Hyundai i10
1330,Coimbatore,2016,62946,Diesel,Manual,First,7.0,11.05,15.1,2179.0,140.0,Mahindra XUV500
1331,Delhi,2015,66823,Diesel,Manual,Second,5.0,4.83,22.54,1396.0,88.73,Hyundai i20
1332,Pune,2013,79494,CNG,Manual,First,5.0,2.96,33.54,998.0,67.04,Maruti WagonR
1333,Chennai,2012,107000,Diesel,Manual,Second,5.0,4.5,21.27,1396.0,88.76,Hyundai i20
1335,Mumbai,2017,24000,Petrol,Automatic,First,5.0,8.75,14.3,1598.0,103.52,Skoda Rapid
1336,Mumbai,2016,20002,Diesel,Automatic,First,7.0,67.0,14.75,2967.0,245.0,Audi Q7
1337,Kochi,2016,54317,Petrol,Manual,First,5.0,8.4,17.4,1497.0,117.3,Honda City
1338,Mumbai,2016,10200,Petrol,Manual,First,5.0,4.99,19.1,1197.0,82.0,Hyundai Xcent
1339,Coimbatore,2016,24337,Diesel,Manual,First,5.0,8.18,26.0,1498.0,98.6,Honda City
1340,Pune,2012,79000,Petrol,Manual,First,5.0,2.9,18.4,1198.0,86.8,Honda Brio
1341,Jaipur,2015,40500,Diesel,Manual,First,5.0,7.1,28.09,1248.0,88.5,Maruti Ciaz
1342,Pune,2016,23000,Diesel,Manual,First,5.0,7.05,26.59,1248.0,74.0,Maruti Swift
1343,Pune,2015,63050,Petrol,Automatic,First,5.0,17.5,11.1,2354.0,158.8,Honda CR-V
1344,Mumbai,2008,78000,Petrol,Automatic,Second,5.0,3.41,14.53,1794.0,138.1,Toyota Corolla
1345,Pune,2005,70000,Petrol,Manual,First,5.0,1.3,22.24,1590.0,83.08,Maruti Baleno
1346,Coimbatore,2012,66245,Petrol,Manual,First,5.0,5.68,17.0,1497.0,118.0,Honda City
1348,Delhi,2011,87670,Petrol,Manual,First,5.0,4.0,13.4,1798.0,157.8,Skoda Laura
1349,Hyderabad,2015,10000,Diesel,Automatic,First,5.0,30.0,18.88,1995.0,184.0,BMW 3 Series
1350,Chennai,2007,62493,Petrol,Manual,First,5.0,1.8,15.0,1586.0,104.68,Maruti SX4
1351,Kochi,2015,44620,Petrol,Manual,First,5.0,6.93,20.73,1373.0,91.1,Maruti Ciaz
1352,Bangalore,2012,66538,Diesel,Automatic,First,7.0,70.0,10.2,4367.0,308.0,Land Rover Range Rover
1353,Ahmedabad,2013,60000,Diesel,Manual,First,7.0,7.9,12.99,2494.0,100.0,Toyota Innova
1354,Kochi,2011,20842,Petrol,Manual,First,5.0,2.78,17.48,1086.0,62.0,Hyundai Santro
1356,Mumbai,2011,45000,Petrol,Automatic,Second,5.0,13.5,11.74,1796.0,186.0,Mercedes-Benz New C-Class
1357,Mumbai,2014,40000,CNG,Manual,Second,5.0,3.15,26.6,998.0,58.16,Maruti WagonR
1358,Coimbatore,2012,49008,Petrol,Manual,First,5.0,2.88,19.7,796.0,46.3,Maruti Alto
1359,Kolkata,2016,31000,Petrol,Manual,First,5.0,2.15,24.7,796.0,47.3,Maruti Alto
1360,Pune,2013,8000,Petrol,Manual,First,5.0,3.75,16.95,1498.0,97.7,Nissan Sunny
1361,Mumbai,2019,171,Petrol,Manual,First,5.0,3.6,24.7,796.0,47.3,Maruti Alto
1362,Kolkata,2018,2100,Petrol,Manual,First,5.0,3.6,24.07,998.0,67.1,Maruti Alto
1363,Coimbatore,2018,20667,Petrol,Automatic,First,5.0,7.55,18.9,1197.0,81.86,Hyundai Grand
1367,Kochi,2016,60475,Petrol,Automatic,First,5.0,9.1,18.0,1497.0,117.3,Honda City
1368,Kochi,2019,18453,Petrol,Manual,First,5.0,6.17,18.9,1197.0,81.86,Hyundai Grand
1369,Hyderabad,2008,96578,Diesel,Manual,First,5.0,2.5,22.0,1582.0,126.2,Hyundai Verna
1370,Kolkata,2016,31001,Petrol,Manual,First,5.0,3.0,18.44,1198.0,75.0,Nissan Micra
1371,Jaipur,2012,65900,Diesel,Manual,First,5.0,5.75,22.32,1582.0,126.32,Hyundai Verna
1372,Bangalore,2017,26246,Petrol,Manual,First,5.0,10.75,15.29,1591.0,121.3,Hyundai Creta
1373,Jaipur,2013,62700,Petrol,Manual,Second,5.0,2.85,20.51,998.0,67.04,Maruti WagonR
1374,Chennai,2008,90000,Petrol,Automatic,First,5.0,6.5,10.2,2354.0,180.0,Honda Accord
1375,Bangalore,2016,36000,Petrol,Automatic,First,5.0,9.45,16.8,1497.0,118.0,Honda City
1376,Delhi,2016,46000,Diesel,Manual,First,5.0,6.75,27.39,1248.0,74.0,Maruti Baleno
1377,Coimbatore,2017,73003,Diesel,Manual,First,5.0,7.75,26.0,1498.0,98.6,Honda City
1378,Kochi,2014,46566,Diesel,Manual,First,5.0,4.4,22.54,1396.0,88.76,Hyundai i20
1379,Jaipur,2015,41493,Diesel,Automatic,First,5.0,42.0,13.0,2987.0,265.0,Mercedes-Benz E-Class
1380,Kochi,2014,103788,Diesel,Manual,First,5.0,5.67,19.01,1461.0,108.5,Nissan Terrano
1381,Bangalore,2016,45000,Diesel,Automatic,First,5.0,11.5,19.6,1461.0,108.45,Renault Duster
1382,Pune,2009,120000,Petrol,Manual,First,5.0,1.69,18.9,998.0,67.1,Maruti WagonR
1384,Mumbai,2016,62000,Petrol,Manual,First,5.0,3.2,18.5,1197.0,85.8,Maruti Ritz
1386,Kochi,2019,18373,Diesel,Automatic,First,5.0,45.86,22.48,1995.0,187.74,BMW 5 Series
1387,Hyderabad,2016,60453,Petrol,Manual,First,5.0,5.1,16.47,1198.0,74.0,Volkswagen Polo
1388,Pune,2013,37000,Diesel,Manual,First,5.0,4.85,17.8,1248.0,77.89,Maruti Swift
1389,Mumbai,2010,69009,Petrol,Manual,Second,5.0,2.4,15.6,1196.0,70.0,Ford Figo
1390,Hyderabad,2013,30000,Diesel,Automatic,First,5.0,22.0,18.88,1995.0,184.0,BMW 3 Series
1391,Delhi,2012,70707,Diesel,Manual,First,5.0,4.28,22.32,1582.0,126.32,Hyundai Verna
1392,Coimbatore,2015,64677,Diesel,Manual,First,5.0,5.67,20.45,1461.0,83.8,Renault Duster
1393,Bangalore,2018,3000,Petrol,Automatic,First,5.0,6.2,18.9,1197.0,81.86,Hyundai Grand
1394,Bangalore,2013,49000,Diesel,Automatic,Second,5.0,14.49,17.05,1995.0,184.0,BMW X1
1395,Pune,2010,71000,Diesel,Manual,First,5.0,3.0,21.1,1248.0,73.9,Maruti Ritz
1396,Jaipur,2010,52000,Petrol,Manual,Second,5.0,2.25,19.81,1086.0,68.05,Hyundai i10
1397,Kochi,2016,35659,Diesel,Automatic,First,7.0,43.78,15.97,2993.0,258.0,BMW X5
1398,Kochi,2019,5377,Petrol,Manual,First,5.0,11.45,16.8,1497.0,116.3,Honda City
1400,Coimbatore,2015,92708,Diesel,Manual,First,5.0,7.48,22.7,1498.0,89.84,Ford Ecosport
1401,Coimbatore,2010,48105,Petrol,Manual,First,5.0,3.1,19.7,796.0,46.3,Maruti Alto
1402,Mumbai,2011,46759,Petrol,Manual,First,5.0,2.55,16.47,1198.0,74.0,Volkswagen Polo
1403,Jaipur,2013,62000,Diesel,Manual,First,5.0,3.5,22.07,1199.0,73.9,Volkswagen Polo
1404,Kolkata,2012,35175,Diesel,Manual,First,5.0,2.59,22.07,1199.0,73.9,Volkswagen Polo
1405,Kolkata,2013,70000,Diesel,Manual,First,7.0,5.45,20.77,1248.0,88.8,Maruti Ertiga
1406,Kolkata,2017,30000,Diesel,Manual,First,5.0,6.0,22.77,1498.0,98.59,Ford EcoSport
1407,Kolkata,2016,66618,Diesel,Automatic,First,7.0,15.49,11.36,2755.0,171.5,Toyota Innova
1408,Mumbai,2010,69300,Petrol,Automatic,Second,5.0,12.5,10.8,2497.0,150.0,BMW 5 Series
1409,Kolkata,2017,148000,Diesel,Manual,First,5.0,4.75,23.4,1248.0,74.0,Maruti Swift
1410,Mumbai,2017,22000,Petrol,Manual,First,5.0,7.85,18.88,999.0,123.24,Ford Ecosport
1411,Ahmedabad,2013,75000,Diesel,Manual,First,5.0,6.0,16.8,1493.0,110.0,Hyundai Verna
1412,Mumbai,2016,43706,Petrol,Manual,First,5.0,4.0,17.57,1193.0,88.7,Tata Zest
1414,Pune,2012,65000,Diesel,Manual,First,5.0,2.5,22.3,1248.0,74.0,Tata Indica
1415,Delhi,2015,76128,Diesel,Manual,First,5.0,5.5,26.59,1248.0,74.0,Maruti Swift
1417,Mumbai,2017,18673,Petrol,Manual,First,5.0,6.22,18.6,1197.0,81.83,Hyundai i20
1418,Kolkata,2016,11583,Petrol,Manual,First,5.0,2.75,21.1,814.0,55.2,Hyundai EON
